You have loaded an FP4 model on CPU and have a CUDA/XPU device available, make sure to set your model on a GPU/XPU device in order to run your model. To remove this warning, pass device_map = 'cuda' or device_map = 'xpu'. 
Fetching 41 files:   0%|          | 0/41 [00:00<?, ?it/s]Fetching 41 files: 100%|██████████| 41/41 [00:00<00:00, 13849.28it/s]
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]
Fetching 41 files:   0%|          | 0/41 [00:00<?, ?it/s][AFetching 41 files: 100%|██████████| 41/41 [00:00<00:00, 19508.39it/s]
Loading checkpoint shards:  33%|███▎      | 1/3 [00:00<00:01,  1.29it/s]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:01<00:00,  1.62it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.33it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.01it/s]
2026-07-01 19:20:45,023 sample_targets sampled 1504 / 10000
2026-07-01 19:20:47,950 sample_targets sampled 1512 / 10000
2026-07-01 19:20:50,878 sample_targets sampled 1520 / 10000
2026-07-01 19:20:53,806 sample_targets sampled 1528 / 10000
2026-07-01 19:20:56,733 sample_targets sampled 1536 / 10000
2026-07-01 19:20:59,790 sample_targets sampled 1544 / 10000
2026-07-01 19:21:02,697 sample_targets sampled 1552 / 10000
2026-07-01 19:21:05,614 sample_targets sampled 1560 / 10000
2026-07-01 19:21:08,538 sample_targets sampled 1568 / 10000
2026-07-01 19:21:11,455 sample_targets sampled 1576 / 10000
2026-07-01 19:21:14,378 sample_targets sampled 1584 / 10000
2026-07-01 19:21:17,300 sample_targets sampled 1592 / 10000
2026-07-01 19:21:20,221 sample_targets sampled 1600 / 10000
2026-07-01 19:21:23,143 sample_targets sampled 1608 / 10000
2026-07-01 19:21:26,066 sample_targets sampled 1616 / 10000
2026-07-01 19:21:29,014 sample_targets sampled 1624 / 10000
2026-07-01 19:21:31,947 sample_targets sampled 1632 / 10000
2026-07-01 19:21:34,878 sample_targets sampled 1640 / 10000
2026-07-01 19:21:37,810 sample_targets sampled 1648 / 10000
2026-07-01 19:21:40,740 sample_targets sampled 1656 / 10000
2026-07-01 19:21:43,674 sample_targets sampled 1664 / 10000
2026-07-01 19:21:46,739 sample_targets sampled 1672 / 10000
2026-07-01 19:21:49,654 sample_targets sampled 1680 / 10000
2026-07-01 19:21:52,583 sample_targets sampled 1688 / 10000
2026-07-01 19:21:55,526 sample_targets sampled 1696 / 10000
2026-07-01 19:21:58,469 sample_targets sampled 1704 / 10000
2026-07-01 19:22:01,417 sample_targets sampled 1712 / 10000
2026-07-01 19:22:04,357 sample_targets sampled 1720 / 10000
2026-07-01 19:22:07,304 sample_targets sampled 1728 / 10000
2026-07-01 19:22:10,248 sample_targets sampled 1736 / 10000
2026-07-01 19:22:13,206 sample_targets sampled 1744 / 10000
2026-07-01 19:22:16,158 sample_targets sampled 1752 / 10000
2026-07-01 19:22:19,099 sample_targets sampled 1760 / 10000
2026-07-01 19:22:22,031 sample_targets sampled 1768 / 10000
2026-07-01 19:22:24,961 sample_targets sampled 1776 / 10000
2026-07-01 19:22:27,923 sample_targets sampled 1784 / 10000
2026-07-01 19:22:30,863 sample_targets sampled 1792 / 10000
2026-07-01 19:22:33,952 sample_targets sampled 1800 / 10000
2026-07-01 19:22:36,881 sample_targets sampled 1808 / 10000
2026-07-01 19:22:39,798 sample_targets sampled 1816 / 10000
2026-07-01 19:22:42,730 sample_targets sampled 1824 / 10000
2026-07-01 19:22:45,665 sample_targets sampled 1832 / 10000
2026-07-01 19:22:48,606 sample_targets sampled 1840 / 10000
2026-07-01 19:22:51,548 sample_targets sampled 1848 / 10000
2026-07-01 19:22:54,496 sample_targets sampled 1856 / 10000
2026-07-01 19:22:57,451 sample_targets sampled 1864 / 10000
2026-07-01 19:23:00,398 sample_targets sampled 1872 / 10000
2026-07-01 19:23:03,350 sample_targets sampled 1880 / 10000
2026-07-01 19:23:06,305 sample_targets sampled 1888 / 10000
2026-07-01 19:23:09,272 sample_targets sampled 1896 / 10000
2026-07-01 19:23:12,221 sample_targets sampled 1904 / 10000
2026-07-01 19:23:15,170 sample_targets sampled 1912 / 10000
2026-07-01 19:23:18,116 sample_targets sampled 1920 / 10000
2026-07-01 19:23:21,201 sample_targets sampled 1928 / 10000
2026-07-01 19:23:24,119 sample_targets sampled 1936 / 10000
2026-07-01 19:23:27,058 sample_targets sampled 1944 / 10000
2026-07-01 19:23:30,000 sample_targets sampled 1952 / 10000
2026-07-01 19:23:32,935 sample_targets sampled 1960 / 10000
2026-07-01 19:23:35,872 sample_targets sampled 1968 / 10000
2026-07-01 19:23:38,811 sample_targets sampled 1976 / 10000
2026-07-01 19:23:41,752 sample_targets sampled 1984 / 10000
2026-07-01 19:23:44,691 sample_targets sampled 1992 / 10000
2026-07-01 19:23:47,632 sample_targets sampled 2000 / 10000
2026-07-01 19:23:50,576 sample_targets sampled 2008 / 10000
2026-07-01 19:23:53,523 sample_targets sampled 2016 / 10000
2026-07-01 19:23:56,469 sample_targets sampled 2024 / 10000
2026-07-01 19:23:59,411 sample_targets sampled 2032 / 10000
2026-07-01 19:24:02,346 sample_targets sampled 2040 / 10000
2026-07-01 19:24:05,285 sample_targets sampled 2048 / 10000
2026-07-01 19:24:08,378 sample_targets sampled 2056 / 10000
2026-07-01 19:24:11,319 sample_targets sampled 2064 / 10000
2026-07-01 19:24:14,255 sample_targets sampled 2072 / 10000
2026-07-01 19:24:17,187 sample_targets sampled 2080 / 10000
2026-07-01 19:24:20,123 sample_targets sampled 2088 / 10000
2026-07-01 19:24:23,067 sample_targets sampled 2096 / 10000
